trade_date,normprice,normsettle,normper,normjc,normgse,normiv,normcjl,normcje,normccl
20190409,0.947445737,-0.558936326,0.032934431,-1.083321065,-0.327520735,-0.627751687,-0.12436033,-0.029349605,-0.404173704
20190409,0.743435404,-0.44685699,0.04247386,-0.71907196,-0.879804257,-1.099838234,-0.232874586,-0.028914401,-0.379239845
20190409,0.335414738,-0.403228792,0.042510126,0.009426249,-0.104125152,0.515355672,2.866262825,0.129810478,3.355319319
20190409,0.539425071,-0.275353039,0.044092576,-0.354822856,0.262559515,0.18534934,-0.235240572,-0.023706973,-0.390723378
20190409,0.335414738,-0.008318379,0.048300658,0.009426249,0.696939814,0.899541876,-0.08555816,-0.001250883,-0.285827754
20190409,-0.684636928,2.616143392,0.05328943,1.830671773,1.178142924,-1.257798749,-0.424874347,-0.015491777,-0.587846789
20190410,0.947445737,-0.552918643,0.062583377,-1.028683699,-0.36024029,-0.636745035,-0.19858469,-0.032036996,-0.308054629
20190410,0.743435404,-0.428051732,0.067961425,-0.664434595,-0.883189039,-1.104856923,-0.277084724,-0.031259859,-0.350182065
20190410,0.335414738,-0.362609435,0.073653536,0.064063615,-0.12104906,0.629558344,2.470703772,0.098699217,3.138231902
20190410,0.539425071,-0.245264627,0.064052979,-0.30018549,0.234353003,0.213437517,-0.239262748,-0.024620218,-0.352931346
20190410,0.335414738,0.027787716,0.063409507,0.064063615,0.656322436,0.929452537,-0.107325231,-0.004338249,-0.292574065
20190410,-0.684636928,2.704904208,0.057857283,1.885309138,1.127371201,-1.257798749,-0.332364296,0.022185567,-0.52846233
20190411,0.947445737,-0.608582206,0.021754899,-1.218093234,-0.194385994,-0.582574323,-0.004303442,-0.027040518,-0.099426537
20190411,0.335414738,-0.543139909,-0.030858813,-0.12534592,-0.881496648,-1.028111262,3.878093621,0.141221637,3.868123574
20190411,0.743435404,-0.514555918,0.021747899,-0.853844129,0.027881328,-0.28353184,-0.218526571,-0.029331158,-0.282126799
20190411,0.539425071,-0.368627117,0.021575687,-0.489595024,0.419387727,0.231121988,-0.153664756,-0.020289317,-0.276755128
20190411,0.335414738,-0.150486128,0.018902425,-0.12534592,0.867871282,0.931613869,0.04926924,0.008009776,-0.121441929
20190411,-0.684636928,2.313754847,0.037587296,1.695899604,1.370511343,-1.257798749,-0.383706191,-0.00028804,-0.552233032
20190412,0.947445737,-0.651458194,0.015741177,-1.23994818,-0.249106629,-0.669897695,-0.091506925,-0.03262899,0.031354621
20190412,0.335414738,-0.588272528,0.034467758,-0.147200866,-0.88544556,-1.077199179,2.516992597,0.039488364,4.076603628
20190412,0.743435404,-0.563449588,0.034132177,-0.875699075,-0.040942563,-0.385609062,-0.188140552,-0.031257103,-0.12569274
20190412,0.539425071,-0.437830466,0.035313128,-0.511449971,0.369744265,0.117871771,-0.128838803,-0.023842783,-0.174122373
20190412,0.335414738,-0.228716,0.041478018,-0.147200866,0.836279988,0.828474299,-0.042953513,-0.008285112,-0.011449561
20190412,-0.684636928,2.307737165,0.054441436,1.674044658,1.339484178,-1.257798749,-0.409394039,-0.012284993,-0.567269482
20190415,0.947445737,-0.66575019,0.000115681,-1.23994818,-0.247414238,-0.668121003,0.129155066,-0.025895149,0.251022132
20190415,0.335414738,-0.638670619,-0.093371025,-0.147200866,-0.88657382,-1.098629352,5.178236707,0.169526383,3.836866369
20190415,0.743435404,-0.59278579,-0.008991498,-0.875699075,-0.048276257,-0.397368179,-0.059971712,-0.024793809,-0.032576724
20190415,0.539425071,-0.469423299,-0.007625629,-0.511449971,0.362974701,0.120271216,0.18751042,-0.00307104,-0.020141517
20190415,0.335414738,-0.273848618,0.00771772,-0.147200866,0.834023467,0.844345447,0.44198911,0.039838609,0.142573591
20190415,-0.684636928,2.289684117,0.038863411,1.674044658,1.353023305,-1.257798749,-0.378044725,0.003807884,-0.592414824
20190416,0.947445737,-0.588272528,0.104081674,-0.868414093,-0.649639112,-0.862009112,0.306975811,-0.024931639,0.346887427
20190416,0.743435404,-0.458140144,0.105547941,-0.504164989,-0.888830341,-1.135445287,0.276978489,-0.016473499,-0.019337881
20190416,0.335414738,-0.371635959,0.136981852,0.224333221,-0.372651155,0.706761913,6.433172561,0.190441315,3.029381543
20190416,0.539425071,-0.244512416,0.105217743,-0.139915884,-0.053353429,0.071549627,0.608858719,0.016989385,-0.00457636
20190416,0.335414738,0.079690227,0.103258571,0.224333221,0.349435575,0.858082737,0.858706837,0.072785224,0.091902237
20190416,-0.684636928,3.047159899,0.077478481,2.045578744,0.822740862,-1.257798749,-0.403326975,-0.006472299,-0.584188131
20190417,1.15145607,-0.672520083,0.053001333,-1.2727306,-0.630458683,-0.936428591,0.111190472,-0.030753993,-0.302788699
20190417,0.947445737,-0.591281369,0.047033725,-0.908481495,-0.888830341,-1.17841553,0.28176116,-0.020497934,0.569769481
20190417,0.743435404,-0.459644565,0.052454293,-0.54423239,-0.335982688,-0.430392623,0.38961632,-0.00415505,0.277774746
20190417,0.335414738,-0.4476092,0.022139895,0.184265819,0.004751987,1.424269719,6.312219978,0.268263643,3.391313745
20190417,0.539425071,-0.261813253,0.048577072,-0.179983285,0.407540992,0.486415784,0.775339632,0.044180533,0.392250555
20190417,0.335414738,0.039823081,0.042960888,0.184265819,0.877461497,1.36834979,0.878750118,0.103240303,0.408450162
20190417,-0.684636928,2.953133611,0.050393175,2.005511343,1.38687112,-1.257798749,-0.438360467,-0.019268998,-0.602439124
20190418,1.15145607,-0.683803237,0.038964703,-1.30915551,-0.625381511,-0.941309908,-0.154171753,-0.034953602,-0.117592936
