time,normper,normcjl,normcje,normjc,normccl,y1,y2,y3,y4
2206,1.294864535,0.658394176,0.424858373,0.416186312,1.831766256,1.2064308233258456,1.895310108106578,0.375237016973927,-0.793112597167765
2207,0.13989078,0.667529325,0.468584423,0.206062611,0.953342933,1.0003871555109822,0.7291875534191758,-0.25031248529326755,-0.199440105351951
2208,-0.007771461,0.142971276,0.078044904,0.310301195,1.426794892,0.5262570705014209,1.0282825298445737,-0.6276733021815146,-0.6368453727789265
2209,-1.043191402,0.551190511,0.332015389,0.589031923,2.028894553,1.0805878947677776,1.0942240893330906,-1.818629763977116,-0.5214380339507104
2210,-0.150626559,-0.030000296,-0.096859298,0.513268429,0.222677765,-0.12471844095719319,0.41800531436954863,-0.34987721984319775,0.1822669254156587
2211,0.746386765,0.137037563,0.045699607,0.722369466,1.511010054,0.4450206905607746,1.6943564843592953,-0.09308870757627208,-0.5369165232950184
2212,-0.377277826,0.226540325,0.104999319,0.700432437,1.240733632,0.45292053265514887,1.0217768701486047,-0.970683606523434,-0.18503040700864315
2301,0.525399434,-0.497218748,-0.404738612,0.552202887,-0.480240549,-0.8563555549674722,0.3534656364167038,0.4831073116932444,0.36189030347541096
2302,0.477784741,-0.167854246,-0.146575218,0.615466054,1.054543208,-0.0034308728514574616,1.247844698123916,-0.14624743418331104,-0.40457823093289685
2303,-0.298291413,-0.339556818,-0.275956409,0.786039077,0.100200597,-0.5439694238700747,0.4750730727745212,-0.5132162955979469,0.3420212016893965
