time,normper,normcjl,normcje,normjc,normccl
200413,1.141004205,0.725814097,0.29,0.273937203,0.516710351
200414,-0.005395411,0.412375412,0.11,0.37912297,0.083041154
200415,0.480453393,0.233561977,0,0.479025153,-0.616137326
200416,0.005978073,0.868060009,0.39,-0.181951998,0.731440228
200417,0.421467392,0.396803597,0.1,-0.408760338,0.609729321
200420,-0.340605554,0.794050143,0.33,-0.425771817,0.790904631
200421,0.762103554,0.759737715,0.32,-0.20435403,0.752850316
200422,-0.156039846,0.64847991,0.26,-0.279085506,0.737052816
200423,-0.665782827,0.656431062,0.25,-0.076037932,0.742883134
200424,-0.02468692,0.54072139,0.18,-0.139506941,0.745229776
200427,-0.426051645,1.065147486,0.48,-0.170473318,0.988433861
200428,0.201605603,0.540099295,0.17,0.137169418,0.721884313
200429,1.415540781,0.770138366,0.33,0.327802903,0.714021851
200430,0.769215896,0.593171775,0.24,0.147362195,0.618704623
200506,-0.124677967,0.485899267,0.18,0.085502271,0.566183379
200507,0.625642791,0.66381844,0.3,0.259103794,0.558974106
200508,-0.092096215,0.506933854,0.2,0.258017035,0.359195002
200511,0.222140577,0.558859347,0.23,0.275405181,0.293609975
200512,0.330901816,0.242932283,0.04,0.379913857,-0.141244638
200513,-0.251220482,-0.068212426,-0.16,0.614030225,-0.721566889
200514,0.044816215,0.93769577,0.46,-0.599346028,1.630059122
200515,-0.317097196,1.004726508,0.5,-0.441034239,1.673484103
200518,0.43872135,0.732287773,0.34,-0.489444523,1.486018823
200519,-0.383908549,0.530612346,0.21,-0.328154673,1.460278333
200520,-0.5602596,0.701707915,0.31,-0.367666049,1.610124757
200521,-0.802757271,1.015107718,0.48,-0.111080509,1.638284466
200522,-0.234602092,0.58549279,0.21,-0.129023983,1.476849983
200525,0.887182322,0.618075016,0.24,-0.295269682,1.447456472
